authority,authority_type,authority_type_zh,authority_type_en,matched_keyword,occurrence_count
上海市卫生健康委员会,sectoral_public_services,行业应用与公共服务,Sectoral public services,卫生健康,5
中共上海市委,party_government_general,党政综合与战略协调,Party-government general,中共,5
汉中市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
大同市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
朔州市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
中共青岛市委,party_government_general,党政综合与战略协调,Party-government general,中共,5
青海省人力资源和社会保障厅,education_talent,教育与人才培养,Education and talent,人力资源,5
银川市教育局,education_talent,教育与人才培养,Education and talent,教育,5
乌兰察布市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
乌海市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
丹东市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
辽宁省财政厅,macro_finance,宏观规划与财政资源配置,Macro planning and finance,财政,5
辽宁省发展和改革委员会,macro_finance,宏观规划与财政资源配置,Macro planning and finance,发展和改革,5
阜新市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
中共江西省委员会,party_government_general,党政综合与战略协调,Party-government general,中共,5
宜春市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
江西省人大(含常委会),law_regulation_security,法规司法与监管安全,"Law, regulation and security",人大,5
扬州市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,5
徐州市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,5
吉林市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
吉林省发展和改革委员会,macro_finance,宏观规划与财政资源配置,Macro planning and finance,发展和改革,5
吉林省工业和信息化厅,digital_industry_data,工业信息化与数据治理,"Digital, industry and data",工业和信息化,5
白城市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
湘潭市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
娄底市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
长沙市工业和信息化局,digital_industry_data,工业信息化与数据治理,"Digital, industry and data",工业和信息化,5
长沙市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,5
湖北省人大(含常委会),law_regulation_security,法规司法与监管安全,"Law, regulation and security",人大,5
中共湖北省委,party_government_general,党政综合与战略协调,Party-government general,中共,5
鄂州市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
黄冈市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
七台河市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
鸡西市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
绥化市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
黑龙江省人力资源和社会保障厅,education_talent,教育与人才培养,Education and talent,人力资源,5
