authority,authority_type,authority_type_zh,authority_type_en,matched_keyword,occurrence_count
中国科学技术协会,public_science_culture,宣传文化与公众科学,Public science and culture,科学技术协会,249
教育部,education_talent,教育与人才培养,Education and talent,教育,227
科学技术部,science_technology,科技创新与科研管理,Science and technology,科学技术,184
河南省教育厅,education_talent,教育与人才培养,Education and talent,教育,142
重庆市科学技术局(原重庆市科学技术委员会),science_technology,科技创新与科研管理,Science and technology,科学技术,117
福建省教育厅,education_talent,教育与人才培养,Education and talent,教育,97
陕西省教育厅,education_talent,教育与人才培养,Education and talent,教育,96
上海市教育委员会,education_talent,教育与人才培养,Education and talent,教育,85
财政部,macro_finance,宏观规划与财政资源配置,Macro planning and finance,财政,85
浙江省教育厅,education_talent,教育与人才培养,Education and talent,教育,84
安徽省教育厅,education_talent,教育与人才培养,Education and talent,教育,78
陕西省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,76
湖南省教育厅,education_talent,教育与人才培养,Education and talent,教育,69
国家发展和改革委员会(含原国家发展计划委员会、原国家计划委员会),macro_finance,宏观规划与财政资源配置,Macro planning and finance,发展和改革,65
北京市教育委员会,education_talent,教育与人才培养,Education and talent,教育,64
广西壮族自治区人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,63
国务院,party_government_general,党政综合与战略协调,Party-government general,国务院,63
工业和信息化部,digital_industry_data,工业信息化与数据治理,"Digital, industry and data",工业和信息化,62
黑龙江省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,60
上海市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,57
山西省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,57
河南省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,57
江苏省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,55
江苏省教育厅,education_talent,教育与人才培养,Education and talent,教育,54
广东省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,54
上海市科学技术委员会,science_technology,科技创新与科研管理,Science and technology,科学技术,53
湖北省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,51
南京市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,50
北京市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,49
重庆市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,48
浙江省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,48
人力资源和社会保障部,education_talent,教育与人才培养,Education and talent,人力资源,48
山东省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,47
江西省教育厅,education_talent,教育与人才培养,Education and talent,教育,47
湖南省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,47
云南省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,46
山东省教育厅,education_talent,教育与人才培养,Education and talent,教育,45
陕西省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,44
江西省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,44
四川省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,42
福建省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,42
辽宁省教育厅,education_talent,教育与人才培养,Education and talent,教育,41
国务院办公厅,party_government_general,党政综合与战略协调,Party-government general,国务院,41
海南省教育厅,education_talent,教育与人才培养,Education and talent,教育,40
安徽省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,39
吉林省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,39
广西壮族自治区教育厅,education_talent,教育与人才培养,Education and talent,教育,39
云南省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,38
山西省教育厅,education_talent,教育与人才培养,Education and talent,教育,38
湖北省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,38
广州市教育局,education_talent,教育与人才培养,Education and talent,教育,38
天津市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,37
贵州省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,36
广西壮族自治区科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,36
深圳市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,35
海南省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,34
天津市教育委员会,education_talent,教育与人才培养,Education and talent,教育,33
西安市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,33
甘肃省教育厅,education_talent,教育与人才培养,Education and talent,教育,33
安徽省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,33
湖北省教育厅,education_talent,教育与人才培养,Education and talent,教育,32
广州市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,32
辽宁省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,31
河南省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,31
四川省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,30
重庆市教育委员会,education_talent,教育与人才培养,Education and talent,教育,30
四川省教育厅,education_talent,教育与人才培养,Education and talent,教育,30
河北省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,30
湖南省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,29
贵州省教育厅,education_talent,教育与人才培养,Education and talent,教育,29
国家卫生健康委员会,sectoral_public_services,行业应用与公共服务,Sectoral public services,卫生健康,29
济南市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,28
中共中央宣传部,public_science_culture,宣传文化与公众科学,Public science and culture,宣传,28
农业部(已撤销),sectoral_public_services,行业应用与公共服务,Sectoral public services,农业,28
中国科学院,science_technology,科技创新与科研管理,Science and technology,科学院,28
浙江省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,27
青岛市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,27
苏州市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,27
交通运输部,sectoral_public_services,行业应用与公共服务,Sectoral public services,交通,27
甘肃省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,26
内蒙古自治区人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,26
新乡市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,26
自然资源部,sectoral_public_services,行业应用与公共服务,Sectoral public services,自然资源,26
上海市经济和信息化委员会,digital_industry_data,工业信息化与数据治理,"Digital, industry and data",经济和信息化,25
青海省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,25
宁夏回族自治区人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,25
商务部,sectoral_public_services,行业应用与公共服务,Sectoral public services,商务,25
宁波市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,24
江苏省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,24
山东省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,24
宁夏回族自治区科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,24
郑州市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,24
中国气象局,sectoral_public_services,行业应用与公共服务,Sectoral public services,气象,24
国家中医药管理局,sectoral_public_services,行业应用与公共服务,Sectoral public services,中医药,24
杭州市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,23
青岛市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,23
济南市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,23
无锡市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,23
苏州市教育局,education_talent,教育与人才培养,Education and talent,教育,23
吉林省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,23
黑龙江省人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,23
河北省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,23
江苏省人力资源和社会保障厅,education_talent,教育与人才培养,Education and talent,人力资源,22
苏州市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,22
襄阳市人民政府(原襄樊市政府),sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,22
海南省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,22
北京市科学技术委员会,science_technology,科技创新与科研管理,Science and technology,科学技术,22
西安市教育局,education_talent,教育与人才培养,Education and talent,教育,21
邯郸市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,21
珠海市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,21
成都市教育局,education_talent,教育与人才培养,Education and talent,教育,20
成都市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,20
辽宁省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,20
河北省教育厅,education_talent,教育与人才培养,Education and talent,教育,20
广东省教育厅,education_talent,教育与人才培养,Education and talent,教育,20
忻州市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,19
沈阳市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,19
河南省发展和改革委员会,macro_finance,宏观规划与财政资源配置,Macro planning and finance,发展和改革,19
安阳市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,19
甘肃省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,19
福建省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,19
泉州市教育局,education_talent,教育与人才培养,Education and talent,教育,19
天津市人力资源和社会保障局,education_talent,教育与人才培养,Education and talent,人力资源,18
青海省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,18
吉林市教育局,education_talent,教育与人才培养,Education and talent,教育,18
郑州市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,18
石家庄市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,18
江门市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,18
福州市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,18
厦门市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,18
马鞍山市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,18
宁波市教育局,education_talent,教育与人才培养,Education and talent,教育,17
浙江省财政厅,macro_finance,宏观规划与财政资源配置,Macro planning and finance,财政,17
新疆维吾尔自治区人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,17
内蒙古自治区教育厅,education_talent,教育与人才培养,Education and talent,教育,17
沈阳市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,17
洛阳市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,17
广东省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,17
厦门市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,17
福州市教育局,education_talent,教育与人才培养,Education and talent,教育,17
合肥市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,17
滁州市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,17
重庆市经济和信息化委员会,digital_industry_data,工业信息化与数据治理,"Digital, industry and data",经济和信息化,16
普洱市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,16
天津市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,16
山西省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,16
东营市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,16
南昌市教育局,education_talent,教育与人才培养,Education and talent,教育,16
南通市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,16
深圳市科技创新委员会,science_technology,科技创新与科研管理,Science and technology,科技,16
中共北京市委员会,party_government_general,党政综合与战略协调,Party-government general,中共,16
公安部,law_regulation_security,法规司法与监管安全,"Law, regulation and security",公安,16
农业农村部,sectoral_public_services,行业应用与公共服务,Sectoral public services,农业,16
国土资源部(已撤销),sectoral_public_services,行业应用与公共服务,Sectoral public services,国土资源,16
浙江省发展和改革委员会,macro_finance,宏观规划与财政资源配置,Macro planning and finance,发展和改革,15
新疆维吾尔自治区科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,15
西安市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,15
山西省人力资源和社会保障厅,education_talent,教育与人才培养,Education and talent,人力资源,15
淄博市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,15
江西省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,15
赣州市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,15
吉林省教育厅,education_talent,教育与人才培养,Education and talent,教育,15
武汉市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,15
黑龙江省教育厅,education_talent,教育与人才培养,Education and talent,教育,15
河南省财政厅,macro_finance,宏观规划与财政资源配置,Macro planning and finance,财政,15
贵阳市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,15
南宁市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,15
合肥市教育局,education_talent,教育与人才培养,Education and talent,教育,15
国家市场监督管理总局,law_regulation_security,法规司法与监管安全,"Law, regulation and security",市场监督,15
国家自然科学基金委员会,science_technology,科技创新与科研管理,Science and technology,自然科学基金,15
昆明市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,14
楚雄彝族自治州人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,14
新疆生产建设兵团,party_government_general,党政综合与战略协调,Party-government general,生产建设兵团,14
广安市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,14
上海市青浦区人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,14
陕西省人力资源和社会保障厅,education_talent,教育与人才培养,Education and talent,人力资源,14
陕西省发展和改革委员会,macro_finance,宏观规划与财政资源配置,Macro planning and finance,发展和改革,14
陕西省财政厅,macro_finance,宏观规划与财政资源配置,Macro planning and finance,财政,14
太原市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,14
江苏省工业和信息化厅,digital_industry_data,工业信息化与数据治理,"Digital, industry and data",工业和信息化,14
江苏省财政厅,macro_finance,宏观规划与财政资源配置,Macro planning and finance,财政,14
中共湖南省委,party_government_general,党政综合与战略协调,Party-government general,中共,14
石家庄市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,14
贵州省科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,14
梅州市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,14
北京市经济和信息化局,digital_industry_data,工业信息化与数据治理,"Digital, industry and data",经济和信息化,14
中共中央办公厅,party_government_general,党政综合与战略协调,Party-government general,中共,14
文化和旅游部,public_science_culture,宣传文化与公众科学,Public science and culture,文化,14
重庆市发展和改革委员会,macro_finance,宏观规划与财政资源配置,Macro planning and finance,发展和改革,13
浙江省经济和信息化厅,digital_industry_data,工业信息化与数据治理,"Digital, industry and data",经济和信息化,13
西藏自治区人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,13
内江市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,13
上海市人力资源和社会保障局,education_talent,教育与人才培养,Education and talent,人力资源,13
上海市发展和改革委员会,macro_finance,宏观规划与财政资源配置,Macro planning and finance,发展和改革,13
内蒙古自治区科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,13
大连市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,13
葫芦岛市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,13
南昌市科技局,science_technology,科技创新与科研管理,Science and technology,科技,13
镇江市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,13
湖南省财政厅,macro_finance,宏观规划与财政资源配置,Macro planning and finance,财政,13
宜昌市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,13
十堰市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,13
中共河南省委,party_government_general,党政综合与战略协调,Party-government general,中共,13
河南省人力资源和社会保障厅,education_talent,教育与人才培养,Education and talent,人力资源,13
沧州市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,13
遵义市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,13
桂林市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,13
兰州市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,13
北京市财政局,macro_finance,宏观规划与财政资源配置,Macro planning and finance,财政,13
中国共产党中央委员会,party_government_general,党政综合与战略协调,Party-government general,中国共产党,13
国务院国有资产监督管理委员会,macro_finance,宏观规划与财政资源配置,Macro planning and finance,国有资产,13
重庆市财政局,macro_finance,宏观规划与财政资源配置,Macro planning and finance,财政,12
衢州市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,12
四川省人力资源和社会保障厅,education_talent,教育与人才培养,Education and talent,人力资源,12
四川省财政厅,macro_finance,宏观规划与财政资源配置,Macro planning and finance,财政,12
成都市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,12
咸阳市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,12
宝鸡市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,12
陕西省科学技术协会,public_science_culture,宣传文化与公众科学,Public science and culture,科学技术协会,12
山西省科学技术协会,public_science_culture,宣传文化与公众科学,Public science and culture,科学技术协会,12
山东省财政厅,macro_finance,宏观规划与财政资源配置,Macro planning and finance,财政,12
银川市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,12
鹰潭市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,12
徐州市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,12
哈尔滨市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,12
廊坊市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,12
佛山市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,12
泉州市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,12
福建省发展和改革委员会,macro_finance,宏观规划与财政资源配置,Macro planning and finance,发展和改革,12
芜湖市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,12
中央网络安全和信息化委员会办公室,digital_industry_data,工业信息化与数据治理,"Digital, industry and data",信息化,12
国家体育总局,sectoral_public_services,行业应用与公共服务,Sectoral public services,体育,12
重庆市科学技术协会,public_science_culture,宣传文化与公众科学,Public science and culture,科学技术协会,11
宁波市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,11
西藏自治区科学技术厅,science_technology,科技创新与科研管理,Science and technology,科学技术,11
晋城市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,11
山东省发展和改革委员会,macro_finance,宏观规划与财政资源配置,Macro planning and finance,发展和改革,11
滨州市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,11
菏泽市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,11
鄂尔多斯市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,11
大连市教育局,education_talent,教育与人才培养,Education and talent,教育,11
抚顺市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,11
本溪市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,11
萍乡市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,11
常州市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,11
江苏省发展和改革委员会,macro_finance,宏观规划与财政资源配置,Macro planning and finance,发展和改革,11
许昌市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,11
衡水市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,11
广州市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,11
汕头市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,11
金昌市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,11
嘉峪关市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,11
天水市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,11
平凉市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,11
南平市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,11
福建省财政厅,macro_finance,宏观规划与财政资源配置,Macro planning and finance,财政,11
中国人民银行,macro_finance,宏观规划与财政资源配置,Macro planning and finance,人民银行,11
民政部,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,11
国家食品药品监督管理总局(已撤销),sectoral_public_services,行业应用与公共服务,Sectoral public services,药品,11
国家数据局,digital_industry_data,工业信息化与数据治理,"Digital, industry and data",数据,11
国家能源局,sectoral_public_services,行业应用与公共服务,Sectoral public services,能源,11
水利部,sectoral_public_services,行业应用与公共服务,Sectoral public services,水利,11
国家文物局,public_science_culture,宣传文化与公众科学,Public science and culture,文物,11
怒江傈僳族自治州人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,10
曲靖市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,10
红河哈尼族彝族自治州人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,10
达州市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,10
山西省发展和改革委员会,macro_finance,宏观规划与财政资源配置,Macro planning and finance,发展和改革,10
淄博市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,10
山东省经济和信息化委员会,digital_industry_data,工业信息化与数据治理,"Digital, industry and data",经济和信息化,10
大连市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,10
朝阳市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,10
常州市教育局,education_talent,教育与人才培养,Education and talent,教育,10
中共江苏省委员会,party_government_general,党政综合与战略协调,Party-government general,中共,10
扬州市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,10
双鸭山市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,10
鹤壁市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,10
六盘水市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,10
南宁市教育局,education_talent,教育与人才培养,Education and talent,教育,10
百色市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,10
广州市工业和信息化局,digital_industry_data,工业信息化与数据治理,"Digital, industry and data",工业和信息化,10
深圳市发展和改革委员会,macro_finance,宏观规划与财政资源配置,Macro planning and finance,发展和改革,10
三明市教育局,education_talent,教育与人才培养,Education and talent,教育,10
宁德市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,10
北京市人力资源和社会保障局,education_talent,教育与人才培养,Education and talent,人力资源,10
北京市科学技术协会,public_science_culture,宣传文化与公众科学,Public science and culture,科学技术协会,10
全民科学素质纲要实施工作办公室,public_science_culture,宣传文化与公众科学,Public science and culture,全民科学素质,10
国家卫生和计划生育委员会(已撤销),sectoral_public_services,行业应用与公共服务,Sectoral public services,卫生,10
国家质量监督检验检疫总局(已撤销),law_regulation_security,法规司法与监管安全,"Law, regulation and security",质量监督,10
重庆市卫生健康委员会,sectoral_public_services,行业应用与公共服务,Sectoral public services,卫生健康,9
绍兴市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,9
嘉兴市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,9
湖州市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,9
新疆维吾尔自治区教育厅,education_talent,教育与人才培养,Education and talent,教育,9
北京市发展和改革委员会,macro_finance,宏观规划与财政资源配置,Macro planning and finance,发展和改革,9
宜宾市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,9
德阳市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,9
上海市人大(含常委会),law_regulation_security,法规司法与监管安全,"Law, regulation and security",人大,9
山西省财政厅,macro_finance,宏观规划与财政资源配置,Macro planning and finance,财政,9
运城市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,9
山东省人力资源和社会保障厅,education_talent,教育与人才培养,Education and talent,人力资源,9
德州市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,9
济南市教育局,education_talent,教育与人才培养,Education and talent,教育,9
青岛市教育局,education_talent,教育与人才培养,Education and talent,教育,9
宁夏回族自治区教育厅,education_talent,教育与人才培养,Education and talent,教育,9
盘锦市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,9
辽阳市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,9
新余市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,9
南京市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,9
泰州市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,9
淮安市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,9
长春市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,9
四平市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,9
长沙市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,9
武汉市教育局,education_talent,教育与人才培养,Education and talent,教育,9
武汉市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,9
湖北省财政厅,macro_finance,宏观规划与财政资源配置,Macro planning and finance,财政,9
伊春市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,9
南阳市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,9
濮阳市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,9
焦作市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,9
河北省科学技术协会,public_science_culture,宣传文化与公众科学,Public science and culture,科学技术协会,9
广西壮族自治区财政厅,macro_finance,宏观规划与财政资源配置,Macro planning and finance,财政,9
广东省财政厅,macro_finance,宏观规划与财政资源配置,Macro planning and finance,财政,9
白银市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,9
三明市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,9
厦门市人力资源和社会保障局,education_talent,教育与人才培养,Education and talent,人力资源,9
宁德市教育局,education_talent,教育与人才培养,Education and talent,教育,9
亳州市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,9
安徽省财政厅,macro_finance,宏观规划与财政资源配置,Macro planning and finance,财政,9
全国人民代表大会,law_regulation_security,法规司法与监管安全,"Law, regulation and security",人民代表大会,9
中国地震局(原国家地震局),sectoral_public_services,行业应用与公共服务,Sectoral public services,地震,9
全民科学素质工作领导小组,public_science_culture,宣传文化与公众科学,Public science and culture,全民科学素质,9
中共杭州市委,party_government_general,党政综合与战略协调,Party-government general,中共,8
杭州市教育局,education_talent,教育与人才培养,Education and talent,教育,8
浙江省人大(含常委会),law_regulation_security,法规司法与监管安全,"Law, regulation and security",人大,8
金华市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,8
四川省发展和改革委员会,macro_finance,宏观规划与财政资源配置,Macro planning and finance,发展和改革,8
眉山市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,8
上海市嘉定区人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,8
吕梁市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,8
东营市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,8
淄博市教育局,education_talent,教育与人才培养,Education and talent,教育,8
烟台市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,8
聊城市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,8
包头市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,8
